date,kWh
2022-03-27,9582.922
2022-03-28,10359.918
2022-03-29,9019.892
2022-03-30,7466.31
2022-03-31,5566.6
2022-04-01,7469.571
2022-04-02,11331.413
2022-04-03,7889.611
2022-04-04,4117.851
2022-04-05,7882.487
2022-04-06,8365.923999999999
2022-04-07,8219.999
2022-04-08,7331.859
2022-04-09,9848.036
2022-04-10,2408.359
2022-04-11,5792.098
2022-04-12,10639.115
2022-04-13,7503.157
2022-04-14,5176.576
2022-04-15,4910.104
2022-04-16,5971.423
2022-04-17,2333.278
2022-04-18,7887.521
2022-04-19,7232.068
2022-04-20,11218.445
2022-04-21,9644.191
2022-04-22,10646.642
2022-04-23,10828.267
2022-04-24,3610.93
2022-04-25,6265.357
2022-04-26,9233.234
2022-04-27,9623.006
2022-04-28,9712.64
2022-04-29,7768.995
2022-04-30,8386.778
2022-05-01,8226.216
2022-05-02,7990.037
2022-05-03,8425.798999999999
2022-05-04,8404.459
2022-05-05,10238.843
2022-05-06,7190.676
2022-05-07,9689.56
2022-05-08,8710.934
2022-05-09,7933.873
2022-05-10,7044.443
2022-05-11,4921.915
2022-05-12,10476.243
2022-05-13,10840.244
2022-05-14,10728.115
2022-05-15,9410.519
2022-05-16,9603.533
2022-05-17,7688.486
2022-05-18,7567.197
2022-05-19,8779.725
2022-05-20,9798.491
2022-05-21,8615.28
2022-05-22,10410.97
2022-05-23,10297.954
2022-05-24,7624.865
2022-05-25,8426.951
2022-05-26,8062.133
2022-05-27,10460.036
2022-05-28,9885.057
2022-05-29,9070.206
2022-05-30,10317.458
2022-05-31,9103.504
2022-06-01,9012.376
2022-06-02,9751.027
2022-06-03,9900.895
2022-06-04,8133.953
2022-06-05,9235.293
2022-06-06,8067.061
2022-06-07,6042.7
2022-06-08,8790.3
2022-06-09,9201.054
2022-06-10,6361.459
2022-06-11,9425.233
2022-06-12,9069.04
2022-06-13,9186.512
2022-06-14,7413.278
2022-06-15,8971.152
2022-06-16,5091.896
2022-06-17,9442.197
2022-06-18,8710.708
2022-06-19,7527.735
2022-06-20,5861.662
2022-06-21,7438.631
2022-06-22,8522.15
2022-06-23,7188.056
2022-06-24,1694.617
2022-06-25,5545.07
2022-06-26,6463.421
2022-06-27,8887.49
2022-06-28,8226.091
2022-06-29,8505.306
2022-06-30,6588.362
2022-07-01,3835.785
2022-07-02,1313.958
2022-07-03,1845.641
2022-07-04,6851.8
2022-07-05,6963.887
2022-07-06,4486.032
2022-07-07,1389.991
2022-07-08,6736.551
2022-07-09,6504.278
2022-07-10,5902.313
2022-07-11,5925.06
2022-07-12,8038.076
2022-07-13,3638.183
2022-07-14,8059.395
2022-07-15,8049.157
2022-07-16,2133.794
2022-07-17,7230.4890000000005
2022-07-18,4724.891
2022-07-19,4841.27
2022-07-20,7245.762
2022-07-21,7132.3279999999995
2022-07-22,3167.717
2022-07-23,6123.0779999999995
2022-07-24,4165.327
2022-07-25,4673.076
2022-07-26,2545.6929999999998
2022-07-27,1914.141
2022-07-28,3534.899
2022-07-29,6414.4
2022-07-30,1742.0810000000001
2022-07-31,1746.247
2022-08-01,2849.602
2022-08-02,4812.9529999999995
2022-08-03,2122.694
2022-08-04,596.69
2022-08-05,309.915
2022-08-06,453.232
2022-08-07,2194.924
2022-08-08,112.083
2022-08-09,60.772999999999996
2022-08-10,25.233999999999998
